timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:37:36.841946,-0.0052,0.2750,0.098229,5.000
2026-05-13T12:37:36.862921,-0.0052,0.2750,0.104597,5.000
2026-05-13T12:37:36.883974,-0.0052,0.2750,0.235213,4.800
2026-05-13T12:37:36.903876,-0.0052,0.2750,0.206536,4.800
2026-05-13T12:37:36.924941,-0.0053,0.2677,0.132129,5.100
2026-05-13T12:37:36.944848,-0.0053,0.2677,0.181368,5.100
2026-05-13T12:37:36.964871,-0.0053,0.2677,0.369900,5.100
2026-05-13T12:37:36.986865,-0.0053,0.2677,0.405631,4.800
2026-05-13T12:37:37.005775,-0.0053,0.2677,0.368761,4.800
2026-05-13T12:37:37.027856,-0.0053,0.2677,0.151781,4.900
2026-05-13T12:37:37.046780,-0.0053,0.2677,0.191739,4.900
2026-05-13T12:37:37.067821,-0.0053,0.2677,0.126699,4.900
2026-05-13T12:37:37.087695,-0.0054,0.2578,0.235130,4.800
2026-05-13T12:37:37.108675,-0.0054,0.2578,0.177491,4.800
2026-05-13T12:37:37.129733,-0.0054,0.2578,0.121379,4.700
2026-05-13T12:37:37.149628,-0.0054,0.2578,0.268080,4.700
2026-05-13T12:37:37.170677,-0.0054,0.2578,0.360273,4.900
2026-05-13T12:37:37.190583,-0.0054,0.2578,0.245225,4.900
2026-05-13T12:37:37.210566,-0.0054,0.2578,0.317226,4.900
2026-05-13T12:37:37.232633,-0.0049,0.2463,0.441119,5.000
2026-05-13T12:37:37.251533,-0.0049,0.2463,0.350793,5.000
2026-05-13T12:37:37.273592,-0.0049,0.2463,0.177777,5.200
2026-05-13T12:37:37.292491,-0.0049,0.2463,0.087292,5.200
2026-05-13T12:37:37.313467,-0.0049,0.2463,0.228639,5.200
2026-05-13T12:37:37.334513,-0.0049,0.2463,0.472937,4.900
2026-05-13T12:37:37.354422,-0.0049,0.2463,0.316963,4.900
2026-05-13T12:37:37.375484,-0.0040,0.2345,0.227192,4.800
